nullrtA10,rtA11,rtA12,rtA13,rtA14,rtA15,rtA16,rtA17,rtA18,rtA19,rtA110,rtA111,rtA112,rtA113,rtA114,rtA115,rtA116,rtA117,rtA118,rtA119,rtA120,rtA121,rtA122,rtA123,rtA124,rtA125,rtA126,rtA127,rtA128,rtA129,rtA130,rtA131,rtA132,rtA133,rtA134,rtA135,rtA136,rtA137,rtA138,rtA139,rtA140,rtA141,rtA142,rtA143,rtA144,rtA145,rtA146,rtA147,rtA148,rtA149,rtA150,rtA151,rtA152,rtA153,rtA154,rtA155,rtA156,rtA157,rtA158,rtA159,rtA160,rtA161,rtA162,rtA163,rtA164,rtA165,rtA166,rtA167,rtA168,rtA169,rtA170,rtA171,rtA172,rtA173,rtA174,rtA175,rtA176,rtA177,rtA178,rtA179,rtA180,rtA181,rtA182,rtA183,rtA184,rtA185,rtA186,rtA187,rtA188,rtA189,rtA190,rtA191,rtA192,rtA193,rtA194,rtA195,rtA196,rtA197,rtA198,rtA199,rtA1100,rtA1101,rtA1102,rtA1103,rtA1104,rtA1105,rtA1106,rtA1107,rtA1108,rtA1109,rtA1110,rtA1111,rtA1112,rtA1113,rtA1114,rtA1115,rtA1116,rtA1117,rtA1118,rtA1119,rtA1120,rtA1121,rtA1122,rtA1123,rtA1124,rtA1125,rtA1126,rtA1127,rtA1128,rtA1129,rtA1130,rtA1131,rtA1132,rtA1133,rtA1134,rtA1135,rtA1136,rtA1137,rtA1138,rtA1139,rtA1140,rtA1141,rtA1142,rtA1143,rtA1144,rtA1145,rtA1146,rtA1147,rtA1148,rtA1149,rtA1150,rtA1151,rtA1152,rtA1153,rtA1154,rtA1155,rtA1156,rtA1157,rtA1158,rtA1159,rtA1160,rtA1161,rtA1162,rtA1163,rtA1164,rtA1165,rtA1166,rtA1167,rtA1168,rtA1169,rtA1170,rtA1171,rtA1172,rtA1173,rtA1174,rtA1175,rtA1176,rtA1177,rtA1178,rtA1179,rtA1180,rtA1181,rtA1182,rtA1183,rtA1184,rtA1185,rtA1186,rtA1187,rtA1188,rtA1189,rtA1190,rtA1191,rtA1192,rtA1193,rtA1194,rtA1195,rtA1196,rtA1197,rtA1198,rtA1199,rtA1200,rtA1201,rtA1202,rtA1203,rtA1204,rtA1205,rtA1206,rtA1207,rtA1208,rtA1209,rtA1210,rtA1211,rtA1212,rtA1213,rtA1214,rtA1215,rtA1216,rtA1217,rtA1218,rtA1219,rtA1220,rtA1221,rtA1222,rtA1223,rtA1224,rtA1225,rtA1226,rtA1227,rtA1228,rtA1229,rtA1230,rtA1231,rtA1232,rtA1233,rtA1234,rtA1235,rtA1236,rtA1237,rtA1238,rtA1239,rtA1240,rtA1241,rtA1242,rtA1243,rtA1244,rtA1245,rtA1246,rtA1247,rtA1248,rtA1249,rtA1250,rtA1251,rtA1252,rtA1253,rtA1254,rtA1255,rtA1256,rtA1257,rtA1258,rtA1259,rtA1260,rtA1261,rtA1262,rtA1263,rtA1264,rtA1265,rtA1266,rtA1267,rtA1268,rtA1269,rtA1270,rtA1271,rtA1272,rtA1273,rtA1274,rtA1275,rtA1276,rtA1277,rtA1278,rtA1279,rtA1280,rtA1281,rtA1282,rtA1283,rtA1284,rtA1285,rtA1286,rtA1287,rtA1288,rtA1289,rtA1290,rtA1291,rtA1292,rtA1293,rtA1294,rtA1295,rtA1296,rtA1297,rtA1298,rtA1299,rtA1300
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
0,2354,22335,239515,242446,245440,248442,251458,254589,257596,260424,263320,266320,24133,269327,272340,275440,278543,281674,284862,288258,291928,295567,299411,25935,303272,307249,311250,315292,319253,323293,327419,331783,336227,340681,27777,345145,349545,353920,358551,363115,367719,372323,376924,381575,386175,29481,390811,395662,400657,405659,410604,415433,420343,425054,429637,434347,31152,439035,443753,448518,453121,457603,462148,466765,471229,475035,478534,32762,482035,485628,489179,492645,496249,499853,503506,507212,511221,515276,34293,519730,524279,528576,532975,537375,541771,546114,550506,555107,559851,35880,564551,569202,573805,578662,583443,588091,592746,597567,602342,607138,37533,611935,616699,621590,626422,631091,635664,640389,645346,650288,654705,4742,39248,658949,663555,668034,672579,676867,681218,685313,689555,693721,697927,41186,702141,706252,710216,714216,718219,722268,726370,730470,734557,738992,43170,743534,748134,752770,757536,762240,766955,771555,776137,780864,785423,45178,790170,794869,799440,804030,808556,813076,817040,820856,824657,828442,47081,832163,835868,839707,843777,847960,851942,855735,859440,863052,866616,48995,870122,873341,876509,880117,883863,887564,891223,894946,898746,901629,50995,904464,907292,910093,912894,915664,918487,921417,924430,927467,930602,52987,933671,936858,940061,943279,946501,949676,952876,956025,959125,962259,54978,965330,968451,971655,974887,978060,981260,984436,987546,990679,993981,56982,997281,1000548,1003849,1006860,1009916,1012917,1015933,1018907,1022064,1025316,7219,59059,1028654,61146,63147,65234,67398,69498,71598,73790,75968,78111,9719,80311,82417,84457,86582,88784,91036,93310,95512,97712,99971,12293,102302,104702,107106,109591,112221,114730,117230,119742,122347,125007,14216,127731,130332,132906,135506,138132,140778,143378,145997,148613,151213,16181,153799,156514,159215,161992,164855,167785,170659,173559,176578,179550,18202,182520,185393,188380,191414,194480,197618,200728,203773,206788,210093,20261,213426,216175,218708,221131,223533,225988,228592,231292,233995,236663
