nullrtA2b1A0,rtA2b1A1,rtA2b1A2,rtA2b1A3,rtA2b1A4,rtA2b1A5,rtA2b1A6,rtA2b1A7,rtA2b1A8,rtA2b1A9,rtA2b1A10,rtA2b1A11,rtA2b1A12,rtA2b1A13,rtA2b1A14,rtA2b1A15,rtA2b1A16,rtA2b1A17,rtA2b1A18,rtA2b1A19,rtA2b1A20,rtA2b1A21,rtA2b1A22,rtA2b1A23,rtA2b1A24,rtA2b1A25,rtA2b1A26,rtA2b1A27,rtA2b1A28,rtA2b1A29,rtA2b1A30,rtA2b1A31,rtA2b1A32,rtA2b1A33,rtA2b1A34,rtA2b1A35,rtA2b1A36,rtA2b1A37,rtA2b1A38,rtA2b1A39,rtA2b1A40,rtA2b1A41,rtA2b1A42,rtA2b1A43,rtA2b1A44,rtA2b1A45,rtA2b1A46,rtA2b1A47,rtA2b1A48,rtA2b1A49,rtA2b1A50,rtA2b1A51,rtA2b1A52,rtA2b1A53,rtA2b1A54,rtA2b1A55,rtA2b1A56,rtA2b1A57,rtA2b1A58,rtA2b1A59,rtA2b1A60,rtA2b1A61,rtA2b1A62,rtA2b1A63,rtA2b1A64,rtA2b1A65,rtA2b1A66,rtA2b1A67,rtA2b1A68,rtA2b1A69,rtA2b1A70,rtA2b1A71,rtA2b1A72,rtA2b1A73,rtA2b1A74,rtA2b1A75,rtA2b1A76,rtA2b1A77,rtA2b1A78,rtA2b1A79,rtA2b1A80,rtA2b1A81,rtA2b1A82,rtA2b1A83,rtA2b1A84,rtA2b1A85,rtA2b1A86,rtA2b1A87,rtA2b1A88,rtA2b1A89,rtA2b1A90,rtA2b1A91,rtA2b1A92,rtA2b1A93,rtA2b1A94,rtA2b1A95,rtA2b1A96,rtA2b1A97,rtA2b1A98,rtA2b1A99,rtA2b1A100,rtA2b1A101,rtA2b1A102,rtA2b1A103,rtA2b1A104,rtA2b1A105,rtA2b1A106,rtA2b1A107,rtA2b1A108,rtA2b1A109,rtA2b1A110,rtA2b1A111,rtA2b1A112,rtA2b1A113,rtA2b1A114,rtA2b1A115,rtA2b1A116,rtA2b1A117,rtA2b1A118,rtA2b1A119,rtA2b1A120,rtA2b1A121,rtA2b1A122,rtA2b1A123,rtA2b1A124,rtA2b1A125,rtA2b1A126,rtA2b1A127,rtA2b1A128,rtA2b1A129,rtA2b1A130,rtA2b1A131,rtA2b1A132,rtA2b1A133,rtA2b1A134,rtA2b1A135,rtA2b1A136,rtA2b1A137,rtA2b1A138,rtA2b1A139,rtA2b1A140,rtA2b1A141,rtA2b1A142,rtA2b1A143,rtA2b1A144,rtA2b1A145,rtA2b1A146,rtA2b1A147,rtA2b1A148,rtA2b1A149,rtA2b1A150,rtA2b1A151,rtA2b1A152,rtA2b1A153,rtA2b1A154,rtA2b1A155,rtA2b1A156,rtA2b1A157,rtA2b1A158,rtA2b1A159,rtA2b1A160,rtA2b1A161,rtA2b1A162,rtA2b1A163,rtA2b1A164,rtA2b1A165,rtA2b1A166,rtA2b1A167,rtA2b1A168,rtA2b1A169,rtA2b1A170,rtA2b1A171,rtA2b1A172,rtA2b1A173,rtA2b1A174,rtA2b1A175,rtA2b1A176,rtA2b1A177,rtA2b1A178,rtA2b1A179,rtA2b1A180,rtA2b1A181,rtA2b1A182,rtA2b1A183,rtA2b1A184,rtA2b1A185,rtA2b1A186,rtA2b1A187,rtA2b1A188,rtA2b1A189,rtA2b1A190,rtA2b1A191,rtA2b1A192,rtA2b1A193,rtA2b1A194,rtA2b1A195,rtA2b1A196,rtA2b1A197,rtA2b1A198,rtA2b1A199,rtA2b1A200,rtA2b1A201,rtA2b1A202,rtA2b1A203,rtA2b1A204,rtA2b1A205,rtA2b1A206,rtA2b1A207,rtA2b1A208,rtA2b1A209,rtA2b1A210,rtA2b1A211,rtA2b1A212,rtA2b1A213,rtA2b1A214,rtA2b1A215,rtA2b1A216,rtA2b1A217,rtA2b1A218,rtA2b1A219,rtA2b1A220,rtA2b1A221,rtA2b1A222,rtA2b1A223,rtA2b1A224,rtA2b1A225,rtA2b1A226,rtA2b1A227,rtA2b1A228,rtA2b1A229,rtA2b1A230,rtA2b1A231,rtA2b1A232,rtA2b1A233,rtA2b1A234,rtA2b1A235,rtA2b1A236,rtA2b1A237,rtA2b1A238,rtA2b1A239,rtA2b1A240,rtA2b1A241,rtA2b1A242,rtA2b1A243,rtA2b1A244,rtA2b1A245,rtA2b1A246,rtA2b1A247,rtA2b1A248,rtA2b1A249,rtA2b1A250,rtA2b1A251,rtA2b1A252,rtA2b1A253,rtA2b1A254,rtA2b1A255,rtA2b1A256,rtA2b1A257,rtA2b1A258,rtA2b1A259,rtA2b1A260,rtA2b1A261,rtA2b1A262,rtA2b1A263,rtA2b1A264,rtA2b1A265,rtA2b1A266,rtA2b1A267,rtA2b1A268,rtA2b1A269,rtA2b1A270,rtA2b1A271,rtA2b1A272,rtA2b1A273,rtA2b1A274,rtA2b1A275,rtA2b1A276,rtA2b1A277,rtA2b1A278,rtA2b1A279,rtA2b1A280,rtA2b1A281,rtA2b1A282,rtA2b1A283,rtA2b1A284,rtA2b1A285,rtA2b1A286,rtA2b1A287,rtA2b1A288,rtA2b1A289,rtA2b1A290,rtA2b1A291,rtA2b1A292,rtA2b1A293,rtA2b1A294,rtA2b1A295,rtA2b1A296,rtA2b1A297,rtA2b1A298,rtA2b1A299,rtA2b1A300
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
0,2230,25013,261124,263851,266551,269251,271878,274504,277115,279842,282462,285062,27882,287688,290262,292862,295462,298088,300662,303222,305647,308047,310297,30780,312475,314675,316875,319097,321275,323497,325606,327628,329648,331594,33684,333529,335529,337509,339470,341450,343450,345386,347286,349205,351105,36456,353005,354949,356854,358749,360749,362845,365067,367267,369416,371574,39256,373774,375952,378185,380481,382758,385081,387381,389714,392188,394682,42151,397058,399458,401882,404327,406925,409525,412072,414547,417072,419543,45047,421880,424203,426480,428780,431080,433403,435680,437967,440167,442292,47932,444392,446492,448571,450692,452802,455024,457202,459400,461500,463603,50756,465803,467995,470097,472297,474543,476820,479120,481443,483769,486202,4430,53528,488802,491428,494002,496628,499296,502023,504703,507430,510107,512907,56236,515707,518535,521307,524107,526907,529735,532476,535176,537849,540549,58810,543229,545885,548558,551258,553958,556685,559385,562058,564785,567475,61450,570202,572902,575575,578300,580998,583686,586671,589671,592671,595671,64243,598641,601669,604636,607636,610666,613666,616666,619666,622666,625587,67001,628516,631335,634107,636907,639735,642535,645335,648131,650931,653687,69701,656487,659315,662115,664913,667685,670485,673213,675913,678578,681204,72302,683778,686404,689001,691634,694334,697007,699707,702407,705107,707831,74902,710504,713204,715901,718628,721299,723999,726718,729391,732169,734944,77502,737744,740516,743369,746265,749165,752065,754965,757869,760809,763680,6608,80128,766604,82702,85399,88126,90826,93526,96226,98926,101599,104267,8808,106867,109493,112093,114693,117318,120018,122775,125573,128373,131173,11030,133973,136773,139573,142359,145014,147614,150214,152788,155314,157880,13818,160506,163104,165678,168349,171076,173749,176449,179176,181784,184384,16590,186958,189584,192184,194874,197455,200081,202647,205147,207672,210144,19418,212669,215150,217750,220275,222737,225069,227392,229657,231835,234035,22185,236342,238727,241103,243503,245903,248327,250787,253287,255865,258482
